municipality,ordinance_date,history_id,doc_type,max_increase_pct,cpi_linked,increase_frequency_per_year,vacancy_decontrol,vacancy_increase_max_pct,hardship_allowed,capital_improvement_surcharge_allowed,rent_board_present,owner_occupied_exempt_units,small_building_exempt_threshold,min_units_covered,sf_exempt,mf_only,year_built_cutoff,new_construction_exempt,emergency_only,decontrol_type
borough_of_oaklyn,10/11/16,162043,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,10/11/22,266090,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,5/11/21,244876,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,7/10/18,193522,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,7/11/17,170513,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,10/10/18,199011,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,6/11/13,102004,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,12/15/15,148017,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,8/12/14,117049,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,5/11/22,256770,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,7/11/23,272667,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,2/9/21,239514,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,10/8/19,220775,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,6/11/19,218601,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,12/1/14,123665,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,7/14/15,143053,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,4/10/18,187697,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,7/12/16,160144,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,4/14/15,138064,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,7/9/24,299834,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,4/9/12,22636,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,12/10/24,301401,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,7/13/21,247772,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,12/10/19,223353,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,5/13/25,OA0494,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,8/11/20,233676,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,8/31/12,26797,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,9/10/11,614,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,3/8/22,255699,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,10/10/17,175069,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,4/8/14,111530,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,12/1/11,17597,rent_control,,1,,0,,,,1,,,,,,,,1,none
borough_of_oaklyn,12/27/12,77501,rent_control,,1,,0,,,,1,,,,,,,,1,none
city_of_linden,12/17/24,LI4062,rent_control,,1,,0,,0,,1,,,,,,,,0,none
city_of_linden,12/29/20,247936,rent_control,,0,,0,,0,,1,,,,,,,,0,none
city_of_linden,12/17/19,232108,rent_control,,0,,0,,0,,1,,,,,,,,0,none
city_of_linden,12/20/22,265570,rent_control,,0,,0,,0,,1,,,,,,,,0,none
city_of_linden,12/19/23,296353,rent_control,,1,,0,,0,,1,,,,,,,,0,none
city_of_linden,12/21/21,253008,rent_control,,0,,0,,0,,1,,,,,,,,0,none
city_of_linden,8/21/18,223270,rent_control,,0,,0,,0,,1,,,,,,,,0,none
township_of_cedar_grove,12/6/21,264433,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,9/18/11,8003,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,9/15/11,2509,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,2/6/23,269546,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,10/7/19,221034,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,12/18/17,179561,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,12/2/24,CE0630,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,9/22/11,9002,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,9/20/11,8502,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,6/16/14,115513,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,12/4/23,291646,rent_control,5,1,,,,0,,1,,,,,,,,0,none
township_of_cedar_grove,8/14/12,26656,rent_control,5,1,,,,0,,1,,,,,,,,0,none
borough_of_east_rutherford,12/27/16,163546,rent_control,,1,,,,1,,1,,,,,,,,0,none
borough_of_east_rutherford,12/17/24,302642,rent_control,,1,,,,1,,1,,,,,,,,0,none
borough_of_east_rutherford,12/17/19,224053,rent_control,,1,,,,1,,1,,,,,,,,0,none
borough_of_east_rutherford,7/18/18,199124,rent_control,,1,,,,1,,1,,,,,,,,0,none
borough_of_east_rutherford,12/21/21,252514,rent_control,,1,,,,1,,1,,,,,,,,0,none
borough_of_east_rutherford,7/18/17,170164,rent_control,,1,,,,1,,1,,,,,,,,0,none
borough_of_east_rutherford,12/16/14,129169,rent_control,,1,,,,1,,1,,,,,,,,0,none
borough_of_east_rutherford,1/1/18,178947,rent_control,,1,,,,1,,1,,,,,,,,0,none
